source,supplierName,sourceUrl,externalId,name,brand,category,unit,currency,price,quantity,isRegulated,notes
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_031_ral/","frezy_khirurgicheskie_h141ax_031_ral","frezy khirurgicheskie h141ax 031 ral","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_031_raxl/","frezy_khirurgicheskie_h141ax_031_raxl","frezy khirurgicheskie h141ax 031 raxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_035_hp/","frezy_khirurgicheskie_h141ax_035_hp","frezy khirurgicheskie h141ax 035 hp","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_035_ral/","frezy_khirurgicheskie_h141ax_035_ral","frezy khirurgicheskie h141ax 035 ral","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_035_raxl/","frezy_khirurgicheskie_h141ax_035_raxl","frezy khirurgicheskie h141ax 035 raxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_040_hp/","frezy_khirurgicheskie_h141ax_040_hp","frezy khirurgicheskie h141ax 040 hp","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_040_ral/","frezy_khirurgicheskie_h141ax_040_ral","frezy khirurgicheskie h141ax 040 ral","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_040_raxl/","frezy_khirurgicheskie_h141ax_040_raxl","frezy khirurgicheskie h141ax 040 raxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h141ax_050_raxl/","frezy_khirurgicheskie_h141ax_050_raxl","frezy khirurgicheskie h141ax 050 raxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/khirurgicheskie_bory/frezy_khirurgicheskie_h151_015_fgxl/","frezy_khirurgicheskie_h151_015_fgxl","frezy khirurgicheskie h151 015 fgxl","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
