supplierSource,externalId,canonicalName,sourceUrl,productVariantId,cardStatus
"amdgroup","lm_aktivator_2_high_short_60_narrow","LM-Активатор 2 HIGH SHORT 60 NARROW","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_short_60_narrow/","cb96f1c0-112a-4175-870c-45ea2258aa42","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_high_short_70_narrow","LM-Активатор 2 HIGH SHORT 70 NARROW","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_short_70_narrow/","ff8dfe6d-5b77-41d4-85bc-4276a6c287c5","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_high_short_70_narrow","LM-Активатор 2 HIGH SHORT 70 NARROW","https://amdgroup.kz/catalog/high_/lm_aktivator_2_high_short_70_narrow/","da33b4c7-04cb-471d-b6d3-5129c443e55c","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_low_long_50_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 2 LOW LONG 50 NARROW для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/low_/lm_aktivator_2_low_long_50_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","7e6cce7a-69f3-49e9-85b5-45c1fa1e0a77","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_low_long_50_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 2 LOW LONG 50 NARROW для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/low_/lm_aktivator_2_low_long_50_narrow_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","5c2e8575-5e19-48b7-951e-1ed1990f92a5","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_low_long_60_narrow_","LM-Активатор 2 LOW LONG 60 NARROW","https://amdgroup.kz/catalog/low_/lm_aktivator_2_low_long_60_narrow_/","f1e73b3b-2feb-4df4-b2c3-7559c78f2654","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_low_long_60_narrow_","LM-Активатор 2 LOW LONG 60 NARROW","https://amdgroup.kz/catalog/low_/lm_aktivator_2_low_long_60_narrow_/","267af4d6-a922-4b5c-8064-f9192c5e5187","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_vysokiy_korotkiy_55_","LM-Активатор 2 высокий короткий 55","https://amdgroup.kz/catalog/high_/lm_aktivator_2_vysokiy_korotkiy_55_/","e43227a9-9ba0-4e92-9bbd-6fb2cd0526de","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_vysokiy_korotkiy_55_","LM-Активатор 2 высокий короткий 55","https://amdgroup.kz/catalog/high_/lm_aktivator_2_vysokiy_korotkiy_55_/","0b0068a7-b375-4d15-ad55-43f5cb7312b9","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_vysokiy_kortkiy_35_","LM-Активатор 2 высокий корткий 35","https://amdgroup.kz/catalog/high_/lm_aktivator_2_vysokiy_kortkiy_35_/","2b8ed5ed-06d7-4ee6-8f95-25f92867d480","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_nizkiy_korotkiy_40_94240lsn","LM-Активатор 2 низкий короткий 40 94240LSN","https://amdgroup.kz/catalog/low_/lm_aktivator_2_nizkiy_korotkiy_40_94240lsn/","a4a80d45-8db2-4251-995f-2459b46bb233","DRAFT_REVIEW"
"amdgroup","lm_aktivator_2_nizkiy_korotkiy_40_94240lsn","LM-Активатор 2 низкий короткий 40 94240LSN","https://amdgroup.kz/catalog/low_/lm_aktivator_2_nizkiy_korotkiy_40_94240lsn/","fab99649-09d8-485f-b0d2-d8167c31f2ac","DRAFT_REVIEW"
"amdgroup","lm_aktivator_20_low_korotkiy","LM-Активатор 20 LOW (короткий)","https://amdgroup.kz/catalog/low/lm_aktivator_20_low_korotkiy/","4efc28a1-c420-4aa8-8cbd-2e4dc10e076d","DRAFT_REVIEW"
"amdgroup","lm_aktivator_20_low_korotkiy","LM-Активатор 20 LOW (короткий)","https://amdgroup.kz/catalog/low/lm_aktivator_20_low_korotkiy/","bc857753-c688-4954-8484-5dc5e9d2837a","DRAFT_REVIEW"
"amdgroup","lm_aktivator_35_low_korotkiy","LM-Активатор 35 LOW (короткий)","https://amdgroup.kz/catalog/low/lm_aktivator_35_low_korotkiy/","1c93de64-54c0-466f-acc3-bcdeb080563d","DRAFT_REVIEW"
"amdgroup","lm_aktivator_35_low_korotkiy","LM-Активатор 35 LOW (короткий)","https://amdgroup.kz/catalog/low/lm_aktivator_35_low_korotkiy/","c752022a-2118-4b31-8a15-b23636f9f107","DRAFT_REVIEW"
"amdgroup","lm_aktivator_40_low_korotkiy","LM-Активатор 40 LOW (короткий)","https://amdgroup.kz/catalog/low/lm_aktivator_40_low_korotkiy/","1a1b6b96-2f97-4144-8a89-ec524668b2ba","DRAFT_REVIEW"
"amdgroup","lm_aktivator_40_low_korotkiy","LM-Активатор 40 LOW (короткий)","https://amdgroup.kz/catalog/low/lm_aktivator_40_low_korotkiy/","3bbc82d9-852e-4ec1-ae02-18f7a929ea83","DRAFT_REVIEW"
"amdgroup","lm_aktivator_45_high_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 45 HIGH SHORT для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high/lm_aktivator_45_high_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","f4542e63-b2e4-4041-89b8-7285360f4d0b","DRAFT_REVIEW"
"amdgroup","lm_aktivator_45_high_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 45 HIGH SHORT для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high/lm_aktivator_45_high_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","24a3fb83-5917-49ec-a4cf-f9f00a358117","DRAFT_REVIEW"
"amdgroup","lm_aktivator_45_high_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 45 HIGH для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high/lm_aktivator_45_high_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","65462831-21a5-46c8-9613-e6cd4baed785","DRAFT_REVIEW"
"amdgroup","lm_aktivator_45_high_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 45 HIGH для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/high/lm_aktivator_45_high_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","6b78008b-54e1-46d6-8527-a9a2a24e5e83","DRAFT_REVIEW"
"amdgroup","lm_aktivator_45_low_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 45 LOW SHORT для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/low/lm_aktivator_45_low_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","92d10eea-aa57-4012-a858-e4514128dac8","DRAFT_REVIEW"
"amdgroup","lm_aktivator_45_low_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i","LM-Активатор 45 LOW SHORT для ортодонтической и миофунк/й коррекции с при/и","https://amdgroup.kz/catalog/low/lm_aktivator_45_low_short_dlya_ortodonticheskoy_i_miofunk_y_korrektsii_s_pri_i/","d2e4d24f-c278-4dbc-8288-664eb7156efc","DRAFT_REVIEW"
